2024-12-27 11:05:09.8629 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:15:25.2588 | websocket_connection:96 | WARNING | WebSocket连接已关闭
2024-12-27 11:15:25.2593 | device_manager:138 | INFO | 所有设备注销成功
2024-12-27 11:15:25.2601 | events:90 | INFO | 所有设备已成功注销
2024-12-27 11:15:26.4076 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:15:26.4208 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:15:26.4208 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:15:26.4295 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:15:26.4372 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:15:26.4402 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735269326, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 531, 'protocol_tail': '0xfe'}
2024-12-27 11:15:26.4402 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:15:26.4422 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:15:26.4446 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:15:26.4557 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:15:26.4557 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:15:26.4602 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:15:26.4742 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:15:26.4742 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:15:26.4901 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:15:34.5781 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:15:34.5994 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:15:34.5994 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:15:34.6087 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:15:34.6182 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:15:34.6202 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735269334, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 539, 'protocol_tail': '0xfe'}
2024-12-27 11:15:34.6213 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:15:34.6233 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:15:34.6280 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:15:34.6387 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:15:34.6401 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:15:34.6447 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:15:34.6535 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:15:34.6545 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:15:34.6690 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:15:36.0827 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:15:36.3557 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:16:49.9408 | events:88 | INFO | 关闭引擎，注销所有设备中...
2024-12-27 11:16:49.9414 | device_manager:125 | INFO | 开始注销所有设备......
2024-12-27 11:16:49.9414 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:16:49.9414 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:16:49.9420 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:16:49.9420 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:16:49.9420 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:16:49.9425 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:16:49.9425 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:16:49.9425 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:16:49.9425 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:16:49.9430 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:16:49.9477 | websocket_connection:109 | INFO | WebSocket连接已断开
2024-12-27 11:16:49.9483 | websocket_connection:96 | WARNING | WebSocket连接已关闭
2024-12-27 11:16:49.9483 | device_manager:138 | INFO | 所有设备注销成功
2024-12-27 11:16:49.9483 | events:90 | INFO | 所有设备已成功注销
2024-12-27 11:16:50.8388 | logger:62 | ERROR | 未捕获的异常
Traceback (most recent call last):

> File "<string>", line 1, in <module>

  File "C:\Users\86364\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py", line 116, in spawn_main
    exitcode = _main(fd, parent_sentinel)
               │     │   └ 348
               │     └ 3
               └ <function _main at 0x0000021950177E50>

  File "C:\Users\86364\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py", line 125, in _main
    prepare(preparation_data)
    │       └ {'log_to_stderr': False, 'authkey': b'\xca.\xfc(x\r\xcb\xbd\x8f\xc3PnA\xe0nO\x07\xeb\x98<\x90\xc0\x81qZ\x91\x03\x11\xac\xcd\x...
    └ <function prepare at 0x0000021950158040>

  File "C:\Users\86364\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py", line 236, in prepare
    _fixup_main_from_path(data['init_main_from_path'])
    │                     └ {'log_to_stderr': False, 'authkey': b'\xca.\xfc(x\r\xcb\xbd\x8f\xc3PnA\xe0nO\x07\xeb\x98<\x90\xc0\x81qZ\x91\x03\x11\xac\xcd\x...
    └ <function _fixup_main_from_path at 0x0000021950158160>

  File "C:\Users\86364\AppData\Local\Programs\Python\Python38\lib\multiprocessing\spawn.py", line 287, in _fixup_main_from_path
    main_content = runpy.run_path(main_path,
                   │     │        └ 'C:\\Users\\86364\\PycharmProjects\\Engine_fastApi\\main.py'
                   │     └ <function run_path at 0x0000021950150430>
                   └ <module 'runpy' from 'C:\\Users\\86364\\AppData\\Local\\Programs\\Python\\Python38\\lib\\runpy.py'>

  File "C:\Users\86364\AppData\Local\Programs\Python\Python38\lib\runpy.py", line 262, in run_path
    return _run_module_code(code, init_globals, run_name,
           │                │     │             └ '__mp_main__'
           │                │     └ None
           │                └ <code object <module> at 0x0000021950175B30, file "C:\Users\86364\PycharmProjects\Engine_fastApi\main.py", line 1>
           └ <function _run_module_code at 0x00000219501500D0>

  File "C:\Users\86364\AppData\Local\Programs\Python\Python38\lib\runpy.py", line 95, in _run_module_code
    _run_code(code, mod_globals, init_globals,
    │         │     │            └ None
    │         │     └ {'__name__': '__mp_main__', '__doc__': None, '__package__': '', '__loader__': None, '__spec__': None, '__file__': 'C:\\Users\...
    │         └ <code object <module> at 0x0000021950175B30, file "C:\Users\86364\PycharmProjects\Engine_fastApi\main.py", line 1>
    └ <function _run_code at 0x0000021950115160>

  File "C:\Users\86364\AppData\Local\Programs\Python\Python38\lib\runpy.py", line 85, in _run_code
    exec(code, run_globals)
         │     └ {'__name__': '__mp_main__', '__doc__': None, '__package__': '', '__loader__': None, '__spec__': None, '__file__': 'C:\\Users\...
         └ <code object <module> at 0x0000021950175B30, file "C:\Users\86364\PycharmProjects\Engine_fastApi\main.py", line 1>

  File "C:\Users\86364\PycharmProjects\Engine_fastApi\main.py", line 6, in <module>
    from apps.parking_camera.urls import parking_camera_router

  File "C:\Users\86364\PycharmProjects\Engine_fastApi\apps\parking_camera\urls.py", line 119
    @parking_camera_router.get("/connect", summary=)
                                                   ^

SyntaxError: invalid syntax
2024-12-27 11:17:00.3520 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:17:00.3683 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:17:00.3683 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:17:00.3780 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:17:00.3859 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:17:00.3889 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:17:00.3889 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735269420, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 370, 'protocol_tail': '0xfe'}
2024-12-27 11:17:00.3909 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:17:00.3949 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:17:00.4059 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:17:00.4059 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:17:00.4098 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:17:00.4172 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:17:00.4172 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:17:00.4351 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:17:07.6608 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:17:08.0274 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:17:28.6545 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:17:28.8886 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:18:02.7763 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:18:03.1350 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:18:32.2220 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:18:32.4104 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:18:44.7908 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:18:44.8040 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:18:44.8040 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:18:44.8109 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:18:44.8192 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:18:44.8223 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735269524, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 474, 'protocol_tail': '0xfe'}
2024-12-27 11:18:44.8223 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:18:44.8243 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:18:44.8274 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:18:44.8656 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:18:44.8656 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:18:44.8689 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:18:44.8826 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:18:44.8836 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:18:44.9036 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:18:46.5427 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:18:46.7591 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:19:09.8925 | middleware:40 | INFO | 接口/docs被调用
2024-12-27 11:19:10.0521 | events:88 | INFO | 关闭引擎，注销所有设备中...
2024-12-27 11:19:10.0521 | device_manager:125 | INFO | 开始注销所有设备......
2024-12-27 11:19:10.0533 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:19:10.0533 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:19:10.0533 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:19:10.0533 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:19:10.0545 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:19:10.0545 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:19:10.0545 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:19:10.0545 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:19:10.0545 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:19:10.0558 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:19:10.0597 | websocket_connection:109 | INFO | WebSocket连接已断开
2024-12-27 11:19:10.0597 | websocket_connection:96 | WARNING | WebSocket连接已关闭
2024-12-27 11:19:10.0597 | device_manager:138 | INFO | 所有设备注销成功
2024-12-27 11:19:10.0597 | events:90 | INFO | 所有设备已成功注销
2024-12-27 11:19:11.2169 | events:41 | INFO | 开始检查当前环境是否满足配置文件中设备所需全部IP
2024-12-27 11:19:11.2299 | events:50 | INFO | 配置文件中所需的所有设备IP地址: ['192.168.24.114', '192.168.24.115', '192.168.24.116', '192.168.24.117', '192.168.24.118', '192.168.24.119']，对应设备名称: ['channel_camera_ip', 'parking_camera_ip', 'lora_node_ip', 'four_bytes_node_ip', 'network_led_ip', 'network_lcd_ip']
2024-12-27 11:19:11.2299 | events:63 | INFO | 环境满足，开始初始化设备
2024-12-27 11:19:11.2416 | device_manager:65 | INFO | 通道相机设备初始化成功
2024-12-27 11:19:11.2509 | device_manager:76 | INFO | 车位相机设备初始化成功
2024-12-27 11:19:11.2519 | services:244 | INFO | 车位相机收到服务器的车位状态上报返回：{'protocol_head': '0xfb', 'timestamp': 1735269551, 'command_code': 'S', 'total_packets': 1, 'packet_number': 0, 'data_length': 1, 'data_content': '\x00', 'checksum': 501, 'protocol_tail': '0xfe'}
2024-12-27 11:19:11.2529 | device_manager:86 | INFO | Lora节点初始化成功
2024-12-27 11:19:11.2562 | device_manager:96 | INFO | 四字节网络节点初始化成功
2024-12-27 11:19:11.2594 | device_manager:107 | INFO | 网络led屏初始化成功
2024-12-27 11:19:11.2712 | device_manager:118 | INFO | 网络lcd一体屏初始化成功
2024-12-27 11:19:11.2712 | events:66 | INFO | 所有设备初始化成功
2024-12-27 11:19:11.2764 | events:73 | INFO | sqlite初始化成功
2024-12-27 11:19:11.2819 | middleware:40 | INFO | 接口/openapi.json被调用
2024-12-27 11:19:11.2880 | services:82 | INFO | LCD一体屏收到来自服务器的指令 {'code': 5000, 'message': '屏地址[24119119]有误，未查询到屏信息！', 'data': ''}
2024-12-27 11:19:11.2891 | services:91 | INFO | LCD一体屏指令响应包发送成功，reqid：None
2024-12-27 11:19:11.3053 | services:95 | INFO | LCD一体屏录入接收到的下发指令到数据库成功{"code":5000,"message":"屏地址[24119119]有误，未查询到屏信息！","data":""}
2024-12-27 11:19:31.4226 | middleware:40 | INFO | 接口/被调用
2024-12-27 11:19:33.5306 | middleware:40 | INFO | 接口/被调用
2024-12-27 11:20:46.6498 | events:88 | INFO | 关闭引擎，注销所有设备中...
2024-12-27 11:20:46.6503 | device_manager:125 | INFO | 开始注销所有设备......
2024-12-27 11:20:46.6503 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:20:46.6503 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:20:46.6514 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:20:46.6514 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:20:46.6514 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:20:46.6514 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:20:46.6514 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:20:46.6524 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:20:46.6524 | tcp_connection:95 | WARNING | 连接断开: [WinError 10038] 在一个非套接字上尝试了一个操作。
2024-12-27 11:20:46.6524 | tcp_connection:115 | INFO | TCP连接已断开
2024-12-27 11:20:46.6581 | websocket_connection:109 | INFO | WebSocket连接已断开
2024-12-27 11:20:46.6594 | websocket_connection:96 | WARNING | WebSocket连接已关闭
2024-12-27 11:20:46.6594 | device_manager:138 | INFO | 所有设备注销成功
2024-12-27 11:20:46.6594 | events:90 | INFO | 所有设备已成功注销
